ID,Name,Package
525,TNT Sports Ultimate,Premium
528,Premier Sports 1 HD,Premium
529,Premier Sports 2 HD,Premium
530,Premier Sports Rugby HD,Mixit
536,Racing TV HD,Premium
540,Red Bull TV HD,Mixit
541,TRACE Sport Stars HD,Mixit
550,MUTV,Premium
551,LFC TV HD,Premium
601,BBC News HD,Mixit
602,Sky News HD,Maxit
604,GB News HD,Mixit
605,BBC Parliament HD,Mixit
609,Bloomberg HD,Mixit
613,CNBC,Mixit
620,Euronews,Mixit
621,NDTV 24x7,Mixit
622,Al Jazeera English,Mixit
624,France 24 English HD,Mixit
626,CNN HD,Mixit
701,CBBC HD,Mixit
702,CBeebies HD,Mixit
703,Baby TV,Premium
704,Cartoon Network HD,Kids
705,Cartoon Network +1,Kids
706,Cartoonito,Kids
707,Sky Kids HD,Kids
712,Nickelodeon HD,Kids
713,Nick +1,Kids
715,Nick Jr.,Kids
716,Nick Jr. Too,Kids
717,Nicktoons,Kids
730,Boomerang,Kids
731,Boomerang +1,Kids
740,QVC HD,Mixit
741,QVC Beauty,Mixit
742,QVC Style HD,Mixit
743,QVC Extra,Mixit
747,Ideal World,Mixit
754,HobbyMaker HD,Mixit
755,Gemporia,Mixit
757,TJC HD,Mixit
758,Cruise1st.tv HD,Mixit
759,High Street TV HD,Mixit
801,Utsav Gold HD,Asian Mela
802,Utsav Bharat,Asian Mela
803,Utsav Plus HD,Asian Mela
805,SONY TV Asia HD,Asian Mela
806,SONY MAX HD,Asian Mela
807,SONY SAB,Asian Mela
808,SONY MAX 2,Asian Mela
809,Zee TV HD,Asian Mela
810,Zee Cinema HD,Asian Mela
811,Zee Punjabi,Asian Mela
815,B4U Movies,Asian Mela
816,B4U Music,Mixit
825,Colors Gujarati,Asian Mela
826,Colors HD,Asian Mela
827,Colors Rishtey,Asian Mela
828,Colors Cineplex,Asian Mela
831,Al Jazeera Arabic,Mixit
838,Islam Channel UK,Mixit
861,BBC One London HD,Mixit
862,BBC One Scotland HD,Mixit
863,BBC One NI HD,Mixit
864,BBC One Wales HD,Mixit
865,BBC Two England HD,Mixit
901,BBC Radio 1,Mixit
902,BBC Radio 2,Mixit
903,BBC Radio 3,Mixit
904,BBC Radio 4,Mixit
905,BBC Radio 5Live,Mixit
906,BBC World Service,Mixit
907,BBC Radio 1Xtra,Mixit
908,BBC Radio 5Live Sports Extra,Mixit
909,BBC Radio 6 Music,Mixit
910,BBC Radio 4 Extra,Mixit
911,BBC Radio 4 LW,Mixit
912,BBC Asian Network,Mixit
913,BBC Radio Cymru 2,Mixit
916,Smooth,Mixit
917,RTE Radio 1,Mixit
918,Heart FM,Mixit
919,LBC,Mixit
920,World Radio Network,Mixit
921,Heart 80s,Mixit
922,Classic FM,Mixit
923,Gold,Mixit
927,talkSPORT,Mixit
930,BBC Radio Scotland,Mixit
931,BBC Radio Wales,Mixit
932,BBC Radio Ulster,Mixit
933,BBC Radio Foyle,Mixit
934,BBC Radio NanGaidheal,Mixit
936,BBC Radio Cymru,Mixit
937,BBC London,Mixit
958,Capital,Mixit
959,Capital XTRA,Mixit
960,Radio X,Mixit
968,PIN Help,Mixit
969,Adult Previews,Mixit
970,Television X: The Fantasy Channel,Pay-per-view
971,Babes & Brazzers,Pay-per-view
972,Adult Channel,Pay-per-view
973,XXX Brits,Pay-per-view
974,Xrated 40 Plus,Pay-per-view
978,TV X (subscription),Premium
979,XXX Brits (subscription),Premium
980,Adult Channel (subscription),Premium
981,Babestation,Premium
983,Pure Babes HD,Pay-per-view
985,PIN Help,Mixit
991,BBC RB HD,Mixit
998,What's On,Mixit
999,Virgin TV Ultra HD,Maxit
